Open,Close,High,Low,Time,Volume
0.97281,0.9643699999999999,0.97287,0.96019,2013.12.04 00:00:00,98434
0.96445,0.96496,0.96609,0.96033,2013.12.05 00:00:00,91060
0.96499,0.96718,0.97038,0.95809,2013.12.06 00:00:00,94325
0.9710299999999999,0.96779,0.97228,0.96635,2013.12.09 00:00:00,66431
0.96772,0.97007,0.97266,0.965,2013.12.10 00:00:00,74376
0.9700800000000001,0.95824,0.97038,0.95789,2013.12.11 00:00:00,69863
0.95824,0.95078,0.96151,0.9493200000000001,2013.12.12 00:00:00,98607
0.95064,0.94845,0.95363,0.94784,2013.12.13 00:00:00,72187
0.94908,0.948,0.94943,0.94455,2013.12.16 00:00:00,63268
0.94801,0.94373,0.94855,0.9422199999999999,2013.12.17 00:00:00,71579
0.94384,0.94825,0.95083,0.94238,2013.12.18 00:00:00,96287
0.94825,0.94542,0.95151,0.94347,2013.12.19 00:00:00,78538
0.9454,0.94722,0.95445,0.94447,2013.12.20 00:00:00,73652
0.94928,0.94729,0.95158,0.94553,2013.12.23 00:00:00,51029
0.9473,0.94704,0.94916,0.94573,2013.12.24 00:00:00,30898
0.94713,0.94711,0.94879,0.9429999999999999,2013.12.26 00:00:00,31453
0.94711,0.94787,0.95203,0.9442700000000001,2013.12.27 00:00:00,53988
0.94823,0.94784,0.95207,0.94707,2013.12.30 00:00:00,53245
0.94789,0.9494899999999999,0.95243,0.9464900000000001,2013.12.31 00:00:00,35409
0.9473200000000001,0.95073,0.95124,0.93787,2014.01.02 00:00:00,73995
0.95073,0.95105,0.95739,0.94816,2014.01.03 00:00:00,79631
0.95233,0.95538,0.95656,0.94976,2014.01.06 00:00:00,77593
0.95539,0.9607,0.96184,0.95208,2014.01.07 00:00:00,84795
0.96062,0.96282,0.96675,0.95931,2014.01.08 00:00:00,91346
0.9628,0.96477,0.9664199999999999,0.96088,2014.01.09 00:00:00,79871
0.9648,0.97582,0.98231,0.96353,2014.01.10 00:00:00,101914
0.98123,0.9833,0.98999,0.97993,2014.01.13 00:00:00,89968
0.9832,0.98119,0.9852,0.97897,2014.01.14 00:00:00,87711
0.9811800000000001,0.97462,0.98232,0.97429,2014.01.15 00:00:00,85554
0.97459,0.96411,0.97563,0.95953,2014.01.16 00:00:00,90963
0.96409,0.962,0.9648099999999999,0.96123,2014.01.17 00:00:00,67602
0.96148,0.96431,0.96588,0.95923,2014.01.20 00:00:00,54445
0.96432,0.96553,0.96817,0.9638099999999999,2014.01.21 00:00:00,75225
0.96561,0.98124,0.98186,0.9646,2014.01.22 00:00:00,85449
0.98116,0.97336,0.98378,0.9718,2014.01.23 00:00:00,123087
0.97315,0.96197,0.97436,0.95908,2014.01.24 00:00:00,113766
0.96178,0.97122,0.9726399999999999,0.96017,2014.01.27 00:00:00,90039
0.97123,0.97876,0.98285,0.96998,2014.01.28 00:00:00,87741
0.97875,0.97597,0.98284,0.9700299999999999,2014.01.29 00:00:00,111621
0.97597,0.98103,0.9831800000000001,0.97438,2014.01.30 00:00:00,91528
0.98103,0.97353,0.98468,0.9707,2014.01.31 00:00:00,97092
0.97397,0.973,0.97572,0.97053,2014.02.03 00:00:00,92318
0.97303,0.9891799999999999,0.9900600000000001,0.96953,2014.02.04 00:00:00,94825
0.9892,0.9872300000000001,0.9912,0.98331,2014.02.05 00:00:00,84604
0.9871799999999999,0.99173,0.9967200000000001,0.98646,2014.02.06 00:00:00,79352
0.99174,0.98788,0.99273,0.98284,2014.02.07 00:00:00,79984
0.9882300000000001,0.98928,0.98996,0.9829,2014.02.10 00:00:00,56937
0.99012,0.99476,1.00085,0.98834,2014.02.11 00:00:00,81764
0.99477,0.99303,0.9972299999999999,0.99095,2014.02.12 00:00:00,73763
0.99308,0.9854000000000001,0.99325,0.98309,2014.02.13 00:00:00,81894
0.98536,0.99097,0.99307,0.98406,2014.02.14 00:00:00,75850
0.99531,0.99019,0.99536,0.98916,2014.02.17 00:00:00,67567
0.9901799999999999,0.98782,0.9946199999999999,0.9862300000000001,2014.02.18 00:00:00,99115
0.9877899999999999,0.99693,1.00018,0.9847,2014.02.19 00:00:00,103403
0.99695,0.99927,1.00113,0.99048,2014.02.20 00:00:00,112604
0.99926,0.99307,1.00599,0.99307,2014.02.21 00:00:00,102714
