Open,Close,High,Low,Time,Volume
1.37846,1.37406,1.37968,1.37286,2014.03.27 00:00:00,59032
1.37407,1.37476,1.37729,1.37048,2014.03.28 00:00:00,50544
1.37622,1.37682,1.38084,1.37213,2014.03.31 00:00:00,56878
1.37682,1.37928,1.38151,1.37682,2014.04.01 00:00:00,45948
1.37928,1.37667,1.382,1.37531,2014.04.02 00:00:00,43281
1.37667,1.37193,1.38059,1.3698,2014.04.03 00:00:00,59933
1.37194,1.36943,1.3731,1.36725,2014.04.04 00:00:00,56184
1.36959,1.37412,1.37483,1.36955,2014.04.07 00:00:00,35928
1.37409,1.37966,1.38113,1.37372,2014.04.08 00:00:00,50925
1.37965,1.38545,1.38616,1.37797,2014.04.09 00:00:00,50980
1.38544,1.38855,1.38988,1.38358,2014.04.10 00:00:00,52177
1.38857,1.38832,1.39054,1.38633,2014.04.11 00:00:00,45706
1.3845,1.38205,1.38628,1.38079,2014.04.14 00:00:00,49061
1.38199,1.3814,1.3833,1.37899,2014.04.15 00:00:00,47078
1.3814,1.38149,1.38508,1.38035,2014.04.16 00:00:00,46001
1.38149,1.3813,1.38643,1.38111,2014.04.17 00:00:00,41977
1.38129,1.38041,1.3822,1.38041,2014.04.18 00:00:00,15301
1.38131,1.37924,1.38302,1.3787,2014.04.21 00:00:00,19442
1.37925,1.38048,1.38244,1.37849,2014.04.22 00:00:00,35210
1.3805,1.38162,1.38546,1.38001,2014.04.23 00:00:00,44731
1.3816,1.3831,1.38427,1.37912,2014.04.24 00:00:00,45047
1.38309,1.38328,1.38479,1.38266,2014.04.25 00:00:00,33814
1.38393,1.38504,1.38791,1.38145,2014.04.28 00:00:00,44262
1.38498,1.38111,1.3879,1.38054,2014.04.29 00:00:00,45221
1.38109,1.38663,1.38763,1.37744,2014.04.30 00:00:00,58395
1.38662,1.38689,1.3889,1.38626,2014.05.01 00:00:00,26727
1.38688,1.38677,1.38809,1.3812,2014.05.02 00:00:00,46631
1.38832,1.38745,1.38857,1.38643,2014.05.05 00:00:00,29551
1.38744,1.3927,1.39512,1.3872,2014.05.06 00:00:00,47385
1.3927,1.39097,1.39383,1.39097,2014.05.07 00:00:00,46869
1.391,1.38395,1.39931,1.38331,2014.05.08 00:00:00,69615
1.38394,1.37573,1.38442,1.37456,2014.05.09 00:00:00,51600
1.37543,1.37565,1.37746,1.37491,2014.05.12 00:00:00,43836
1.37567,1.37029,1.37712,1.36889,2014.05.13 00:00:00,71777
1.37022,1.37143,1.37307,1.36976,2014.05.14 00:00:00,58396
1.37143,1.37089,1.37321,1.3648,2014.05.15 00:00:00,80685
1.37088,1.36927,1.37265,1.36851,2014.05.16 00:00:00,51184
1.36913,1.37082,1.37339,1.36913,2014.05.19 00:00:00,50553
1.37081,1.37009,1.37136,1.36777,2014.05.20 00:00:00,51432
1.37004,1.36862,1.3723,1.36343,2014.05.21 00:00:00,67954
1.36857,1.36551,1.36876,1.3645,2014.05.22 00:00:00,61308
1.36554,1.3627,1.36586,1.36154,2014.05.23 00:00:00,56211
1.36203,1.36451,1.36542,1.36146,2014.05.26 00:00:00,37067
1.36449,1.36341,1.36683,1.36124,2014.05.27 00:00:00,60227
1.36345,1.35902,1.36375,1.35883,2014.05.28 00:00:00,59356
1.359,1.36013,1.36253,1.3586,2014.05.29 00:00:00,57619
1.36012,1.3633,1.36498,1.35982,2014.05.30 00:00:00,58172
1.36359,1.35961,1.36359,1.35878,2014.06.02 00:00:00,56137
1.35964,1.36269,1.36475,1.3586,2014.06.03 00:00:00,56907
1.36274,1.35978,1.36387,1.35963,2014.06.04 00:00:00,64366
1.35976,1.36593,1.36696,1.35027,2014.06.05 00:00:00,107468
1.36592,1.36417,1.36767,1.36208,2014.06.06 00:00:00,70706
1.36418,1.35931,1.36686,1.35824,2014.06.09 00:00:00,47681
1.35927,1.35469,1.36015,1.35332,2014.06.10 00:00:00,61243
1.35463,1.35307,1.35568,1.35214,2014.06.11 00:00:00,59228
1.353,1.35516,1.35718,1.3512,2014.06.12 00:00:00,70702
1.35515,1.35363,1.35787,1.35206,2014.06.13 00:00:00,61722
1.35393,1.35728,1.35792,1.35127,2014.06.16 00:00:00,53221
1.35728,1.35464,1.35868,1.35361,2014.06.17 00:00:00,49631
1.35463,1.35948,1.35991,1.35415,2014.06.18 00:00:00,60483
1.35948,1.36076,1.36432,1.35839,2014.06.19 00:00:00,59515
1.36069,1.35979,1.36337,1.35642,2014.06.20 00:00:00,47304
1.35877,1.36039,1.36131,1.35739,2014.06.23 00:00:00,60025
1.36039,1.36058,1.36274,1.35832,2014.06.24 00:00:00,56237
1.36054,1.36282,1.36506,1.35998,2014.06.25 00:00:00,19269
1.36281,1.36108,1.36411,1.35757,2014.06.26 00:00:00,50660
1.36105,1.36483,1.36503,1.36088,2014.06.27 00:00:00,50489
1.36423,1.36918,1.36974,1.36401,2014.06.30 00:00:00,51385
1.36918,1.36784,1.37001,1.36754,2014.07.01 00:00:00,47048
1.36784,1.36589,1.36822,1.36414,2014.07.02 00:00:00,42480
1.36583,1.36095,1.36641,1.3596,2014.07.03 00:00:00,56138
1.36094,1.3594,1.36112,1.35854,2014.07.04 00:00:00,27182
1.35937,1.36041,1.36088,1.35757,2014.07.07 00:00:00,36946
1.36039,1.36118,1.3617,1.35879,2014.07.08 00:00:00,40430
1.36116,1.36405,1.36481,1.3602,2014.07.09 00:00:00,55389
1.36404,1.36082,1.36504,1.35889,2014.07.10 00:00:00,54443
1.36081,1.36052,1.36247,1.35917,2014.07.11 00:00:00,44895
1.36013,1.36181,1.36399,1.35972,2014.07.14 00:00:00,42235
1.36182,1.35678,1.36279,1.35616,2014.07.15 00:00:00,65872
1.35678,1.35245,1.35734,1.35206,2014.07.16 00:00:00,51475
1.35244,1.3526,1.35398,1.35163,2014.07.17 00:00:00,53853
1.35256,1.35211,1.3536,1.34907,2014.07.18 00:00:00,58765
1.35263,1.35225,1.35488,1.35127,2014.07.21 00:00:00,42251
1.35222,1.34645,1.35295,1.34586,2014.07.22 00:00:00,64818
1.34642,1.34629,1.34739,1.34548,2014.07.23 00:00:00,48210
1.34621,1.34628,1.34847,1.34378,2014.07.24 00:00:00,57832
1.34624,1.34295,1.34754,1.34211,2014.07.25 00:00:00,54620
1.34296,1.34385,1.34436,1.34266,2014.07.28 00:00:00,35213
1.34379,1.3408,1.34443,1.3404,2014.07.29 00:00:00,49254
1.34079,1.3396,1.34151,1.33667,2014.07.30 00:00:00,96720
1.33959,1.33898,1.34003,1.33713,2014.07.31 00:00:00,59790
1.33898,1.34232,1.34445,1.33783,2014.08.01 00:00:00,70744
1.34294,1.34213,1.34327,1.34092,2014.08.04 00:00:00,38775
1.34211,1.33757,1.34245,1.33581,2014.08.05 00:00:00,56618
1.33758,1.33821,1.33866,1.33328,2014.08.06 00:00:00,74337
1.33822,1.33628,1.33936,1.33369,2014.08.07 00:00:00,75570
1.33625,1.34074,1.34325,1.33433,2014.08.08 00:00:00,80386
1.34091,1.33844,1.34105,1.33803,2014.08.11 00:00:00,42290
1.33843,1.33688,1.33859,1.33358,2014.08.12 00:00:00,52872
1.33687,1.3364,1.3415,1.3342,2014.08.13 00:00:00,63106
1.3364,1.33644,1.34076,1.33483,2014.08.14 00:00:00,61919
1.33642,1.33987,1.34116,1.33585,2014.08.15 00:00:00,65660
1.33892,1.3363,1.3399,1.33527,2014.08.18 00:00:00,45658
1.33629,1.33195,1.33638,1.3313,2014.08.19 00:00:00,59857
1.33195,1.32591,1.33241,1.32551,2014.08.20 00:00:00,73548
